기준년,분기,상권구분코드,상권구분코드명,상권코드,상권코드명,총유동인구,남성유동인구,여성유동인구,10대유동인구,20대유동인구,30대유동인구,40대유동인구,50대유동인구,60대이상유동인구
2019,3,A,골목상권,1000281,삼양로8길,665505,302130,363373,116494,75706,93144,111352,101339,167470
2019,3,A,골목상권,1000282,성북로8길,248180,109891,138289,38250,37890,36821,36219,36623,62375
2019,3,A,골목상권,1000283,솔샘로6길,297638,145483,152156,42763,66844,33481,38547,36985,79020
2019,3,A,골목상권,1000284,아리랑로4길,520647,228419,292230,87253,118878,81885,71286,62627,98718
2019,3,A,골목상권,1000285,안암로5길,466328,229058,237269,56501,104225,70941,63309,67826,103524
2019,3,A,골목상권,1000286,오패산로19길,555014,250372,304642,107678,62506,66839,83786,84611,149594
2019,3,A,골목상권,1000287,오패산로3길,1071528,485832,585695,239510,105758,130284,169243,158003,268729
2019,3,A,골목상권,1000288,오패산로4길,976070,452059,524010,141317,144927,132667,148017,152600,256538
2019,3,A,골목상권,1000289,인촌로17가길,507771,241033,266739,79839,140483,66681,57448,56872,106449
2019,3,A,골목상권,1000290,인촌로1길,442387,200212,242176,53182,107823,70054,59891,57169,94270
2019,3,A,골목상권,1000291,개운사길,504815,252069,252747,68519,230529,58362,42965,40974,63468
2019,3,A,골목상권,1000292,인촌로24길,638913,382135,256778,80484,300174,77614,55518,50636,74487
2019,3,A,골목상권,1000293,인촌로5길,623768,266179,357590,90370,193648,87219,76633,71093,104806
2019,3,A,골목상권,1000294,인촌로6길,468099,217077,251021,57357,83790,68766,65305,72702,120177
2019,3,A,골목상권,1000295,장월로1길,920548,414339,506210,134245,196903,122547,123657,128342,214854
2019,3,A,골목상권,1000296,장위로50길,367323,187087,180236,49248,43060,44816,51544,65192,113464
2019,3,A,골목상권,1000297,정릉로26길,340017,154765,185252,56744,39328,47401,52159,48641,95744
2019,3,A,골목상권,1000298,정릉로27길,371141,174376,196765,65586,51404,52882,54571,48094,98603
2019,3,A,골목상권,1000299,정릉로8길,163233,85251,77982,26397,44089,20997,18111,19100,34538
2019,3,A,골목상권,1000300,종암로16길,897812,412771,485040,145973,116367,114395,137291,139449,244336
